MONTH,PRODUCT_NAME,PROFIT
2019-01,Robert Rodriguez Women's Tux Boyfriend Blazer,114.558749541
2019-01,Sutton Studio Women's Single Button Blazer Jacket,51.673538448
2019-01,L*Space Sahara's Dream Tab Side Hipster Bottom,40.124999732
2019-02,Alpha Industries A-2 Leather Jacket,237.99999943
2019-02,True Religion Men's TRBJ Flatlock Raw Edge Hoodie,120.851954608
2019-02,Bailey 44 Women's Venom Dress,103.5
2019-03,The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013,483.104998453
2019-03,Parker Women's Strapless Studded Dress,229.68000003
2019-03,Magaschoni Women's 100% Cashmere Peplum Back Sweater,195.047999583
2019-04,BCBGMAXAZRIA Women's Gisela Criss Cross Foil Print Dress,196.880000398
2019-04,Tommy Hilfiger Men's Trim Fit Two Button Side Vent Sport Coat,120.6436538
2019-04,Intimo Men's Satin Striped Silk Robe,102.571498649
2019-05,Theory Light Grey Blazer,174.294184956
2019-05,Holden Shawl Collar Sweater - Men's,89.255198452
2019-05,HOBO  Women's Rachel Vintage VI-3356 Wallet,63.385102365
2019-06,The North Face Freedom Mens Ski Pants 2013,533.672998331
2019-06,BCBGMAXAZRIA Women's Gavin Sweater Skirt,123.552000336
2019-06,BCBGMAXAZRIA Women's Skye Halter Dress With Cowl Neck,112.860000059
2019-07,Canada Goose Men's Lodge Down Hoody,269.099998847
2019-07,Jones New York Women's No Closure Jacket,164.588999614
2019-07,Only Hearts Women's Double Knit 2 Button Jacket,123.394999206
2019-08,Regency New York Men's Smoking Jacket Constantine Black,235.57055781
2019-08,Outdoor Research Men's Furio Jacket,189.349999744
2019-08,Joseph Abboud Men's Two-button Side Vent Sport Coat,163.680000275
2019-09,Mens Nike AirJordan Varsity Hoodie Jacket Grey / Black 451582-066,493.940998547
2019-09,Cole Haan Women's Vintage Leather Jacket,202.940000901
2019-09,Gold Series Big & Tall Suit Separate Sport Coat With Jacket-Relaxer,114.454000525
2019-10,Paul Fredrick Herringbone Wool Blend Double-Breasted Suit,252.57750068
2019-10,7 Diamonds Men's Treviso,181.675000116
2019-10,Nau Vice Blazer - Men's,170.510000475
2019-11,Regency New York Men's Smoking Jacket Maxwell Black,250.76865853
2019-11,Nicole Miller Women's Reverse Stretch Charmeuse Boat Neck Dress,223.874999676
2019-11,Ray-Ban RB2140 Original Wayfarer Sunglasses,204.501004305
2019-12,Diesel Men's Lisardo Jacket,422.963998911
2019-12,Robert Rodriguez Women's High Waisted Pencil Skirt,370.090000816
2019-12,Arc'teryx Men's Diplomat Jacket,247.499999497
2020-01,Arc'teryx Men's Alpha SV Jacket,376.875000075
2020-01,French Connection Women's T-Stella Crepe Jacket,177.407999173
2020-01,Diesel Men's Jepphet Jacket,176.410000412
2020-02,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,482.202001669
2020-02,Canada Goose Women's Mystique,469.499998726
2020-02,Men's Knee Length Overcoat in Pure Cashmere,227.429999376
2020-03,Pendleton The Portland Collection Women's Josephine Blazer,391.199999303
2020-03,Kenneth Cole New York Men's 2 Piece Suit,252.713514416
2020-03,Paige Maternity Jeans : Union Laurel Canyon - Renaissance,215.339999523
2020-04,Nobis Yatesy Parka,568.099997565
2020-04,Pure Cashmere Robe for Men,185.97800041
2020-04,French Connection Men's Melton Jacket Blazer,179.396000472
2020-05,Diesel Men's Lisardo Jacket,422.963998911
2020-05,Men's Moncler Down Vest Tib,311.849999381
2020-05,Paul Fredrick 100% Wool Two-Button Plaid Sportcoat,252.864000563
2020-06,The North Face Women's S-XL Oso Jacket,524.643000215
2020-06,HALSTON HERITAGE Women's Oversized Double Faced Coat,262.341425013
2020-06,Joseph Abboud Men's Super 120's Two Button Side Vent Single Pleat Pant Tuxedo With Grosgrain Notch Lapel,260.176926644
2020-07,Faconnable Men's Double Face Wool Jacket,301.762500429
2020-07,Arcteryx Alpha FL Jacket - Women's,215.460000386
2020-07,Ted Baker Men's Moosh Blazer,197.505000749
2020-08,Nobis Men's Cartel Jacket,419.999998994
2020-08,Canada Goose Women's Expedition Parka,399.090000261
2020-08,Scotch & Soda Men's Outdoor Jacket,303.690000419
2020-09,Canada Goose Men's The Chateau Jacket,436.839998737
2020-09,Joseph Abboud Men's 2 Button Side Vent Stripe Suit With Flat Front Pant,259.79100064
2020-09,DKNYC Women's Long Sleeve Real Leather Front Cozy,177.008000053
2020-10,AIR JORDAN DOMINATE SHORTS MENS 465071-100,448.790999976
2020-10,Canada Goose Men's Lodge Down Hoody,269.099998847
2020-10,7 For All Mankind Men's Ombre Plaid Blazer,246.760000415
2020-11,The North Face Freedom Mens Ski Pants 2013,533.672998331
2020-11,JORDAN DURASHEEN SHORT MENS 404309-109,532.769998183
2020-11,Joseph Abboud Men's Super 120's Two Button Side Vent Single Pleat Pant Tuxedo With Grosgrain Notch Lapel,260.176926644
2020-12,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,390.999000175
2020-12,The North Face Apex Bionic Soft Shell Jacket - Men's,378.356999785
2020-12,True Religion Women's Casey Stretch Leather Pants,355.840000072
2021-01,Canada Goose Men's The Chateau Jacket,436.839998737
2021-01,Nobis Men's Cartel Jacket,419.999998994
2021-01,Arc'teryx Moray Jacket - Women's,355.092000917
2021-02,AIR JORDAN DOMINATE SHORTS MENS 465071-100,448.790999976
2021-02,Diesel Men's Shioner Skinny Straight Leg Jean,250.858849457
2021-02,Yoana Baraschi Women's Gotham Tux Blazer,234.239998855
2021-03,The North Face Nuptse 2 Jacket - Noah Green/TNF Black,532.769998183
2021-03,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,499.358997753
2021-03,Canada Goose Men's The Chateau Jacket,477.589998585
2021-04,The North Face Freedom Mens Ski Pants 2013,533.672998331
2021-04,The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013,483.104998453
2021-04,Canada Goose Women's Solaris,398.235000549
2021-05,Darla,594.404998809
2021-05,Ben Sherman Men's Side Vent 2 Piece Suit,548.460001387
2021-05,Mens Nike AirJordan Varsity Hoodie Jacket Grey / Black 451582-066,493.940998547
2021-06,NAU Highline Blazer Women's Clothing,536.115413991
2021-06,The North Face Apex Bionic Soft Shell Jacket - Men's,378.356999785
2021-06,Trina Turk Women's Alfred,246.361998914
2021-07,Darla,594.404998809
2021-07,Nobis Tula Parka,460.350000928
2021-07,Parker Women's Beaded Shift Dress,444.312000543
2021-08,Nobis Men's Cartel Jacket,419.999998994
2021-08,United Face Womens Rex Fur Leather Swing Coat,366.212000608
2021-08,Joe's Jeans Women's Opale Jacket,225.149998646
2021-09,Canada Goose Women's Expedition Parka,399.090000261
2021-09,Joseph Abboud Men's 2 Button Side Vent Suit With Flat Front Pant,258.540000435
2021-09,Women's Full Length Overcoat in Pure Cashmere,252.787000455
2021-10,Men's Moncler Down Vest Tib,311.849999381
2021-10,Joseph Abboud Men's 2 Button Side Vent Stripe Suit With Flat Front Pant,259.79100064
2021-10,Kenneth Cole New York Men's 2 Piece Suit,252.713514416
2021-11,The North Face Apex Bionic Soft Shell Jacket - Men's,539.993997686
2021-11,The North Face Apex Bionic Jacket - Men's,503.873998703
2021-11,Arc'teryx Moray Jacket - Women's,355.092000917
2021-12,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,499.358997753
2021-12,The North Face Apex Bionic Soft Shell Jacket - Women's,368.368000716
2021-12,Lucky Brand Mens Men's Handknit Seed Stitch Sweater,337.560000233
2022-01,Robert Graham Men's Minstrel Dinner Jacket,388.102000125
2022-01,Sunglasses Gucci 4225/S 0ADJ White,285.060597065
2022-01,Paul Fredrick 100% Wool Two-Button Plaid Sportcoat,252.864000563
2022-02,Canada Goose Men's The Chateau Jacket,477.589998585
2022-02,The North Face Denali Down Womens Jacket 2013,465.947999004
2022-02,Carhartt Men's Down Kalkaska Snorkel Parka,335.344112814
2022-03,The North Face Apex Bionic Soft Shell Jacket - Men's,539.993997686
2022-03,The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013,483.104998453
2022-03,Canada Goose Women's Mystique,469.499998726
2022-04,The North Face Apex Bionic Soft Shell Jacket - Men's,511.097997995
2022-04,Canada Goose Women's Chilliwack Bomber,407.269999441
2022-04,Arc'teryx Moray Jacket - Women's,355.092000917
2022-05,Nike Jordan Retro 11 Bred Bootie Socks,345.84899782
2022-05,Men's Classic Sheepskin B-3 Bomber Jacket,324.274999402
2022-05,True Religion Men's Ricky Straight Jean,260.010000167
2022-06,Nobis Yatesy Parka,1136.19999513
2022-06,ASCIS Cushion Low Socks (Pack of 3),529.157998432
2022-06,Alpha Industries Rip Stop Short,516.483000923
